;hash-rate
25/09/2013 01:00;1082.96702
28/09/2013 01:00;1244.744003
01/10/2013 01:00;1285.237482
04/10/2013 01:00;1327.38432
07/10/2013 01:00;1465.746416
10/10/2013 01:00;1563.787432
13/10/2013 01:00;1697.692472
16/10/2013 01:00;1998.787574
19/10/2013 01:00;2338.404231
22/10/2013 01:00;2628.205873
25/10/2013 01:00;2810.098723
28/10/2013 00:00;3154.265107
31/10/2013 00:00;3374.437282
03/11/2013 00:00;3678.422494
06/11/2013 00:00;3825.559394
09/11/2013 00:00;3802.868954
12/11/2013 00:00;3933.395133
15/11/2013 00:00;4295.967252
18/11/2013 00:00;4826.532482
21/11/2013 00:00;4837.318485
24/11/2013 00:00;4981.782593
27/11/2013 00:00;4999.095478
30/11/2013 00:00;5370.127723
03/12/2013 00:00;5747.66581
06/12/2013 00:00;6234.333072
09/12/2013 00:00;6445.325811
12/12/2013 00:00;7078.181464
15/12/2013 00:00;7626.34587
18/12/2013 00:00;8114.884685
21/12/2013 00:00;9005.070763
24/12/2013 00:00;9414.272755
27/12/2013 00:00;9731.244642
30/12/2013 00:00;9770.024596
02/01/2014 00:00;10323.51955
05/01/2014 00:00;10582.9204
08/01/2014 00:00;11760.62969
11/01/2014 00:00;12813.23626
14/01/2014 00:00;14305.12696
17/01/2014 00:00;15285.62766
20/01/2014 00:00;15605.92598
23/01/2014 00:00;15821.96893
26/01/2014 00:00;16994.94476
29/01/2014 00:00;17732.34765
01/02/2014 00:00;17822.99199
04/02/2014 00:00;19271.88906
07/02/2014 00:00;20656.48075
10/02/2014 00:00;21087.88513
13/02/2014 00:00;21315.11098
16/02/2014 00:00;22134.20695
19/02/2014 00:00;24359.78848
22/02/2014 00:00;26123.49597
25/02/2014 00:00;27225.08711
28/02/2014 00:00;27313.98535
03/03/2014 00:00;29032.72098
06/03/2014 00:00;29164.00877
09/03/2014 00:00;29671.47449
12/03/2014 00:00;31486.98937
15/03/2014 00:00;32057.97613
18/03/2014 00:00;33824.37064
21/03/2014 00:00;33714.16826
24/03/2014 00:00;36430.6187
27/03/2014 00:00;38996.44354
30/03/2014 00:00;41705.37043
02/04/2014 01:00;41778.36545
05/04/2014 01:00;44836.18624
08/04/2014 01:00;47780.19966
11/04/2014 01:00;48128.63571
14/04/2014 01:00;49108.70777
17/04/2014 01:00;52541.97141
20/04/2014 01:00;55940.88978
23/04/2014 01:00;55738.05725
26/04/2014 01:00;56994.02461
29/04/2014 01:00;57043.58463
02/05/2014 01:00;59124.3279
05/05/2014 01:00;60375.43246
08/05/2014 01:00;62954.26662
11/05/2014 01:00;63920.17144
14/05/2014 01:00;67604.47014
17/05/2014 01:00;71358.1518
20/05/2014 01:00;74314.99306
23/05/2014 01:00;76704.13835
26/05/2014 01:00;77693.31191
29/05/2014 01:00;79388.73574
01/06/2014 01:00;79597.02104
04/06/2014 01:00;86799.36343
07/06/2014 01:00;88537.81468
10/06/2014 01:00;87321.39742
13/06/2014 01:00;88915.53635
16/06/2014 01:00;95511.14891
19/06/2014 01:00;105251.717
22/06/2014 01:00;113782.959
25/06/2014 01:00;118931.4626
28/06/2014 01:00;122564.4173
01/07/2014 01:00;124527.4699
04/07/2014 01:00;120435.8687
07/07/2014 01:00;118958.0069
10/07/2014 01:00;125885.2804
13/07/2014 01:00;128751.7384
16/07/2014 01:00;128806.1563
19/07/2014 01:00;134448.4799
22/07/2014 01:00;138379.3318
